"LOCATION","VAR","TIME","Value"
"NLD","BB-P100-DSL",2019,15.021
"NZL","BB-P100-DSL",2016,23.071
"NZL","BB-P100-DSL",2017,18.512
"NZL","BB-P100-DSL",2018,14.562
"NZL","BB-P100-DSL",2019,10.977
"NOR","BB-P100-DSL",2016,11.96
"NOR","BB-P100-DSL",2017,10.594
"NOR","BB-P100-DSL",2018,9.22
"NOR","BB-P100-DSL",2019,7.147
"POL","BB-P100-DSL",2016,6.495
"POL","BB-P100-DSL",2017,6.005
"POL","BB-P100-DSL",2018,5.358
"POL","BB-P100-DSL",2019,4.728
"PRT","BB-P100-DSL",2016,8.867
"PRT","BB-P100-DSL",2017,7.28
"PRT","BB-P100-DSL",2018,5.898
"PRT","BB-P100-DSL",2019,4.696
"SVK","BB-P100-DSL",2016,8.971
"SVK","BB-P100-DSL",2017,8.958
"SVK","BB-P100-DSL",2018,8.789
"SVK","BB-P100-DSL",2019,8.686
"ESP","BB-P100-DSL",2016,13.614
"ESP","BB-P100-DSL",2017,10.848
"ESP","BB-P100-DSL",2018,7.998
"ESP","BB-P100-DSL",2019,5.487
"SWE","BB-P100-DSL",2016,9.663
"SWE","BB-P100-DSL",2017,7.723
"SWE","BB-P100-DSL",2018,6.132
"SWE","BB-P100-DSL",2019,4.696
"CHE","BB-P100-DSL",2016,24.805
"CHE","BB-P100-DSL",2017,24.365
"CHE","BB-P100-DSL",2018,23.734
"CHE","BB-P100-DSL",2019,23.683
"TUR","BB-P100-DSL",2016,9.794
"TUR","BB-P100-DSL",2017,10.778
"TUR","BB-P100-DSL",2018,11.659
"TUR","BB-P100-DSL",2019,11.745
"GBR","BB-P100-DSL",2016,30.982
"GBR","BB-P100-DSL",2017,31.177
"GBR","BB-P100-DSL",2018,31.338
"GBR","BB-P100-DSL",2019,31.031
"USA","BB-P100-DSL",2016,8.218
"USA","BB-P100-DSL",2017,7.443
"USA","BB-P100-DSL",2018,6.704
"USA","BB-P100-DSL",2019,5.884
"AUS","BB-P100-CAB",2016,4.332
"AUS","BB-P100-CAB",2017,3.756
"AUS","BB-P100-CAB",2018,6.05
"AUS","BB-P100-CAB",2019,7.548
"AUT","BB-P100-CAB",2016,9.377
"AUT","BB-P100-CAB",2017,9.602
"AUT","BB-P100-CAB",2018,9.852
"AUT","BB-P100-CAB",2019,9.985
"BEL","BB-P100-CAB",2016,19.286
"BEL","BB-P100-CAB",2017,20.007
"BEL","BB-P100-CAB",2018,20.476
"BEL","BB-P100-CAB",2019,20.957
"CAN","BB-P100-CAB",2016,19.499
"CAN","BB-P100-CAB",2017,19.961
"CAN","BB-P100-CAB",2018,20.318
"CAN","BB-P100-CAB",2019,20.808
